score,reasons,composer,work_a_id,work_a_title,work_a_sources,work_b_id,work_b_title,work_b_sources
1.166,"substring,same-instrumentation","Küffner, Joseph",568691,"Potpourri No.2, Op.88 (Küffner, Joseph)",imslp|ds=2,568698,"Potpourri No.26, Op.277 (Küffner, Joseph)",imslp|ds=2
1.166,"substring,same-instrumentation","Küffner, Joseph",568691,"Potpourri No.2, Op.88 (Küffner, Joseph)",imslp|ds=2,568699,"Potpourri No.27, Op.290 (Küffner, Joseph)",imslp|ds=2
1.163,"substring,same-instrumentation","Almeida, Laurindo",531848,Gypsy Suite I,sheerpluck|ds=1,531849,Gypsy Suite II,sheerpluck|ds=1
1.163,"substring,same-instrumentation","Branca, Glenn",539095,Symphony No. 1,sheerpluck|ds=1,539096,Symphony No. 10,sheerpluck|ds=1
1.163,"substring,same-instrumentation","Branca, Glenn",539095,Symphony No. 1,sheerpluck|ds=1,539098,Symphony No. 13,sheerpluck|ds=1
1.16,"substring,same-instrumentation","Sharman, Rodney",592563,Intermezzo I,sheerpluck|ds=1,592564,Intermezzo II,sheerpluck|ds=1
1.16,"substring,same-instrumentation","Tárrega, Francisco",598925,"Estudio No.2 (Tárrega, Francisco)",imslp|ds=2,598926,"Estudio No.20 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598957,"Prelude No.10 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598958,"Prelude No.12 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598959,"Prelude No.13 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598960,"Prelude No.14 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598961,"Prelude No.15 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598962,"Prelude No.16 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598963,"Prelude No.17 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598964,"Prelude No.18 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598956,"Prelude No.1 (Tárrega, Francisco)",imslp|ds=2,598965,"Prelude No.19 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598966,"Prelude No.2 (Tárrega, Francisco)",imslp|ds=2,598967,"Prelude No.20 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598966,"Prelude No.2 (Tárrega, Francisco)",imslp|ds=2,598968,"Prelude No.21 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Tárrega, Francisco",598966,"Prelude No.2 (Tárrega, Francisco)",imslp|ds=2,598969,"Prelude No.22 (Tárrega, Francisco)",imslp|ds=2
1.16,"substring,same-instrumentation","Ubach, Alberto",599073,Mexican Lottery Suite VI,sheerpluck|ds=1,599075,Mexican Lottery Suite VIII,sheerpluck|ds=1
1.158,"substring,same-instrumentation","Ubach, Alberto",599069,Mexican Lottery Suite I,sheerpluck|ds=1,599070,Mexican Lottery Suite III,sheerpluck|ds=1
1.158,"substring,same-instrumentation","Ubach, Alberto",599072,Mexican Lottery Suite V,sheerpluck|ds=1,599074,Mexican Lottery Suite VII,sheerpluck|ds=1
1.157,"substring,same-instrumentation","Lázaro Villena, José",571955,Sonata No.1,sheerpluck|ds=1,571956,Sonata No.11,sheerpluck|ds=1
1.157,"substring,same-instrumentation","Lázaro Villena, José",571955,Sonata No.1,sheerpluck|ds=1,571957,Sonata No.12,sheerpluck|ds=1
1.157,"substring,same-instrumentation","Toledo Guillén, Daniel",597903,Preludio II,sheerpluck|ds=1,597904,Preludio III,sheerpluck|ds=1
1.152,"substring,same-instrumentation","Membrado, Antonio",575144,Preludio I,sheerpluck|ds=1,575145,Preludio II,sheerpluck|ds=1
1.152,"substring,same-instrumentation","Toledo Guillén, Daniel",597902,Preludio I,sheerpluck|ds=1,597903,Preludio II,sheerpluck|ds=1
1.15,substring,"Albert, Benoît",531441,Les 4 saisons,sheerpluck|ds=1,531440,Les 4 Saisons,sheerpluck|ds=1
