ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1598,"Carulli, Ferdinando",1770,1841,,"3 Duos for 2 Guitars, Op.89 (Carulli, Ferdinando)",2 guitars,https://imslp.org/wiki/3_Duos_for_2_Guitars%2C_Op.89_(Carulli%2C_Ferdinando)
1599,"Carulli, Ferdinando",1770,1841,,"3 Duos for 2 Guitars, Op.104 (Carulli, Ferdinando)",2 guitars,https://imslp.org/wiki/3_Duos_for_2_Guitars%2C_Op.104_(Carulli%2C_Ferdinando)
1600,"Carulli, Ferdinando",1770,1841,,"3 Duos for 2 Guitars, Op.146 (Carulli, Ferdinando)",2 guitars,https://imslp.org/wiki/3_Duos_for_2_Guitars%2C_Op.146_(Carulli%2C_Ferdinando)
1601,"Casorti, Alessandro",1830,1867,,"Allemande à trois (Casorti, Alessandro)",guitar solo orviolin (flute) and guitar or2 guitars,https://imslp.org/wiki/Allemande_%C3%A0_trois_(Casorti%2C_Alessandro)
1602,"Visée, Robert de",1652,1730,,"Allemande in D minor, R 1.21 (Visée, Robert de)",5-course baroque guitar,https://imslp.org/wiki/Allemande_in_D_minor%2C_R_1.21_(Vis%C3%A9e%2C_Robert_de)
1603,"Campion, François",1685,1747,,"Allemande tendrement (Campion, François)",guitar,https://imslp.org/wiki/Allemande_tendrement_(Campion%2C_Fran%C3%A7ois)
1604,"Steinfels, Adolph",1821,1846,,"7 Allemandes avec Introduction et Coda, Op.5 (Steinfels, Adolph)",guitar,https://imslp.org/wiki/7_Allemandes_avec_Introduction_et_Coda%2C_Op.5_(Steinfels%2C_Adolph)
1605,"Diabelli, Anton",1781,1858,,"6 Allemandes pour la Guitarre et Piano Forte, Cahier II (Diabelli, Anton)","guitar, piano",https://imslp.org/wiki/6_Allemandes_pour_la_Guitarre_et_Piano_Forte%2C_Cahier_II_(Diabelli%2C_Anton)
1606,"Call, Leonhard von",1767,1815,,"6 Allemandes, Op.48 (Call, Leonhard von)",2 guitars,https://imslp.org/wiki/6_Allemandes%2C_Op.48_(Call%2C_Leonhard_von)
1607,"Plouvier, Pierre Joseph",,1826,,"Allemandes, Rondeaux, Sauteuses & Anglaises (Plouvier, Pierre Joseph)",guitar,https://imslp.org/wiki/Allemandes%2C_Rondeaux%2C_Sauteuses_%26_Anglaises_(Plouvier%2C_Pierre_Joseph)
1608,"Huber, Ferdinand Fürchtegott",1791,1863,,"6 Allemannische Gedichte (Huber, Ferdinand Fürchtegott)","voice, piano (or guitar)",https://imslp.org/wiki/6_Allemannische_Gedichte_(Huber%2C_Ferdinand_F%C3%BCrchtegott)
1609,"Augusto, Pedro Manuel",,,,"Alma Enamorada, Op.13 (Augusto, Pedro Manuel)","2 Portuguese guitars, acoustic guitar",https://imslp.org/wiki/Alma_Enamorada%2C_Op.13_(Augusto%2C_Pedro_Manuel)
1610,"Barker of Boston, George",1852,1916,,"Alma March (Barker of Boston, George)",guitar,https://imslp.org/wiki/Alma_March_(Barker_of_Boston%2C_George)
1611,"Le Roy, Adrien",1520,1598,,"Almande (Le Roy, Adrien)",renaissance (4-course) guitar,https://imslp.org/wiki/Almande_(Le_Roy%2C_Adrien)
1612,"Alba, Antonio",1873,1940,,"La Aloja, Op.67 (Alba, Antonio)","voice, guitar",https://imslp.org/wiki/La_Aloja%2C_Op.67_(Alba%2C_Antonio)
1613,"Vysotsky, Mikhail",1791,1837,,"Along the pavement (Vysotsky, Mikhail)",guitar,https://imslp.org/wiki/Along_the_pavement_(Vysotsky%2C_Mikhail)
