ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1,"Aubéry du Boulley, Prudent Louis",1796,1870,,"1er et 2nd Quadrilles de Contredanses et Walses, Op.35 (Aubéry du Boulley, Prudent Louis)","guitar, piano",https://imslp.org/wiki/1er_et_2nd_Quadrilles_de_Contredanses_et_Walses%2C_Op.35_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
2,"Aubéry du Boulley, Prudent Louis",1796,1870,,"2nd Recueil de Contredanses pour 2 Guitares, Op.75 (Aubéry du Boulley, Prudent Louis)",2 guitars,https://imslp.org/wiki/2nd_Recueil_de_Contredanses_pour_2_Guitares%2C_Op.75_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
3,"Sötemann, Christian H.",,,,"The 2nd Rest (Sötemann, Christian H.)",guitar,https://imslp.org/wiki/The_2nd_Rest_(S%C3%B6temann%2C_Christian_H.)
4,"Aubéry du Boulley, Prudent Louis",1796,1870,,"3ème Recueil de Contredanses pour 2 Guitares, Op.77 (Aubéry du Boulley, Prudent Louis)",2 guitars,https://imslp.org/wiki/3%C3%A8me_Recueil_de_Contredanses_pour_2_Guitares%2C_Op.77_(Aub%C3%A9ry_du_Boulley%2C_Prudent_Louis)
5,"Trombini, Maurizio Massimo Jabres",,,,"4th Blues (Trombini, Maurizio Massimo Jabres)","tenor saxophone (B♭), guitar, bass",https://imslp.org/wiki/4th_Blues_(Trombini%2C_Maurizio_Massimo_Jabres)
6,"Ludenhoff, Martin",,,,"7:40 (Ludenhoff, Martin)",2 guitars,https://imslp.org/wiki/7:40_(Ludenhoff%2C_Martin)
7,"Hagiu, Stefan",,,,"21st Century Nocturnes, Op.1 (Hagiu, Stefan)",guitar,https://imslp.org/wiki/21st_Century_Nocturnes%2C_Op.1_(Hagiu%2C_Stefan)
8,"Versluis, Tyler",,,,"23 (Versluis, Tyler)",2 guitars,https://imslp.org/wiki/23_(Versluis%2C_Tyler)
9,"Day, E. R.",1866,,,"42nd Regiment March (Day, E. R.)",guitar,https://imslp.org/wiki/42nd_Regiment_March_(Day%2C_E._R.)
10,"Aramaki, Michio",,,,"66*4, Op.8b (Aramaki, Michio)","flute, alto flute, bass flute, guitar",https://imslp.org/wiki/66*4%2C_Op.8b_(Aramaki%2C_Michio)
11,"Aramaki, Michio",,,,"66*4, Op.8 (Aramaki, Michio)","guitar, 2 mandolins, mandola",https://imslp.org/wiki/66*4%2C_Op.8_(Aramaki%2C_Michio)
12,,,,,List of Compositions Featuring the Guitar/Lute,,https://imslp.org/wiki/List_of_Compositions_Featuring_the_Guitar%2FLute
13,"Hamilton, Jesse J.",,,,"""Trip-O-Let"" Dance (Hamilton, Jesse J.)",guitar,https://imslp.org/wiki/%22Trip-O-Let%22_Dance_(Hamilton%2C_Jesse_J.)
14,"Topete Galván, Luis",,,,"( ), Op.1 (Topete Galván, Luis)","guitar, piano",https://imslp.org/wiki/(_)%2C_Op.1_(Topete_Galv%C3%A1n%2C_Luis)
15,"Kurakina, Natalia",1766,1831,,"À ma cabanne (Kurakina, Natalia)","voice, guitar",https://imslp.org/wiki/%C3%80_ma_cabanne_(Kurakina%2C_Natalia)
16,"Pinto, Aloysio de Alencar",1911,2007,,"Abálogum (Pinto, Aloysio de Alencar)","voice, guitar",https://imslp.org/wiki/Ab%C3%A1logum_(Pinto%2C_Aloysio_de_Alencar)
17,"Denz, David",,,,"Abbots Bromley Horn Dance (Denz, David)",guitar (in DADGAD tuning),https://imslp.org/wiki/Abbots_Bromley_Horn_Dance_(Denz%2C_David)
18,"López, Joel Edgardo",,,,"ABC (López, Joel Edgardo)",3 guitars,https://imslp.org/wiki/ABC_(L%C3%B3pez%2C_Joel_Edgardo)
19,"Diabelli, Anton",1781,1858,,"Abend-Unterhaltungen für Csakan und Guitare (Diabelli, Anton)","csakan, guitar",https://imslp.org/wiki/Abend-Unterhaltungen_f%C3%BCr_Csakan_und_Guitare_(Diabelli%2C_Anton)
20,"Busch, J.G.",1793,1871,,"Abendsterne (Busch, J.G.)","flute (or violin), guitar",https://imslp.org/wiki/Abendsterne_(Busch%2C_J.G.)
21,"Diabelli, Anton",1781,1858,,"Abendunterhaltungen 2. Heft (Diabelli, Anton)","csakan (recorder), guitar",https://imslp.org/wiki/Abendunterhaltungen_2._Heft_(Diabelli%2C_Anton)
22,"Sapozhnikov, Aleksandr",,,,"Above the Clouds (Sapozhnikov, Aleksandr)",Guitar,https://imslp.org/wiki/Above_the_Clouds_(Sapozhnikov%2C_Aleksandr)
23,"Schulz, Rainer",,,,"Abre me los ojos (Schulz, Rainer)","voice, guitar",https://imslp.org/wiki/Abre_me_los_ojos_(Schulz%2C_Rainer)
24,"Lemoine, Antoine Marcel",1763,1817,,"Abrégé des principes de la lyre ou guitarre à six cordes (Lemoine, Antoine Marcel)",guitar,https://imslp.org/wiki/Abr%C3%A9g%C3%A9_des_principes_de_la_lyre_ou_guitarre_%C3%A0_six_cordes_(Lemoine%2C_Antoine_Marcel)
25,Various,,,,Der Abschied der Troubadours (Various),"voice, piano, guitar, violin",https://imslp.org/wiki/Der_Abschied_der_Troubadours_(Various)
26,"Beklen, Çağrı",,,,"Der Abschied (Beklen, Çağrı)","Violin, viola, cello, guitar",https://imslp.org/wiki/Der_Abschied_(Beklen%2C_%C3%87a%C4%9Fr%C4%B1)
27,"Benzon, Siegfried",1793,1825,,"Abschieds-Walzer No.6 (Benzon, Siegfried)","flute, guitar",https://imslp.org/wiki/Abschieds-Walzer_No.6_(Benzon%2C_Siegfried)
28,"Albert, Heinrich (guitarist)",1870,1950,,"2 Abschiedslieder (Albert, Heinrich (guitarist))",Voice and Guitar,https://imslp.org/wiki/2_Abschiedslieder_(Albert%2C_Heinrich_%40guitarist%5E)
29,"Alba, Antonio",1873,1940,,"La Abuelita, Op.72 (Alba, Antonio)",Voice with Guitar or Piano,https://imslp.org/wiki/La_Abuelita%2C_Op.72_(Alba%2C_Antonio)
30,"Marcoux, Jean-François",,1966,,"Accueillis de confiance (Marcoux, Jean-François)","bansuri, violin, guitar",https://imslp.org/wiki/Accueillis_de_confiance_(Marcoux%2C_Jean-Fran%C3%A7ois)
31,"Giuliani, Mauro",1781,1829,,"Ad altro Laccio (Giuliani, Mauro)","voice, guitar",https://imslp.org/wiki/Ad_altro_Laccio_(Giuliani%2C_Mauro)
32,"Klimek, Jens",,,,"Ad astra (Klimek, Jens)",guitar,https://imslp.org/wiki/Ad_astra_(Klimek%2C_Jens)
33,"Watson, Steven",,,,"Ad Infinitum (Watson, Steven)",guitar,https://imslp.org/wiki/Ad_Infinitum_(Watson%2C_Steven)
34,"Carulli, Ferdinando",1770,1841,,"Adagio & Variations, Op.160 (Carulli, Ferdinando)",2 guitars,https://imslp.org/wiki/Adagio_%26_Variations%2C_Op.160_(Carulli%2C_Ferdinando)
35,"Carulli, Ferdinando",1770,1841,,"Adagio and Finale from Haydn's Symphonies, Op.163 (Carulli, Ferdinando)","violin, guitar",https://imslp.org/wiki/Adagio_and_Finale_from_Haydn's_Symphonies%2C_Op.163_(Carulli%2C_Ferdinando)
36,"Munier, Carlo",1859,1911,,"Adagio e Rondo, Op.176 (Munier, Carlo)","2 mandolins, piano (or guitar) with ad lib. mandola",https://imslp.org/wiki/Adagio_e_Rondo%2C_Op.176_(Munier%2C_Carlo)
37,"Coste, Napoléon",1805,1883,,"Adagio et divertissements, Op.50 (Coste, Napoléon)",Guitar Solo,https://imslp.org/wiki/Adagio_et_divertissements%2C_Op.50_(Coste%2C_Napol%C3%A9on)
38,"Gernlein, Rudolph",1829,1847,,"Adagio et Variations brillantes sur un thème favori de Rode, Op.41 (Gernlein, Rudolph)",guitar,https://imslp.org/wiki/Adagio_et_Variations_brillantes_sur_un_th%C3%A8me_favori_de_Rode%2C_Op.41_(Gernlein%2C_Rudolph)
39,"Zimmermann, H. (guitar composer)",1908,1916,,"Adagio for 2 Guitars (Zimmermann, H. (guitar composer))",2 Guitars,https://imslp.org/wiki/Adagio_for_2_Guitars_(Zimmermann%2C_H._%40guitar_composer%5E)
40,"Ferrer, José",1835,1916,,"Adagio, Op.60 (Ferrer, José)",guitar,https://imslp.org/wiki/Adagio%2C_Op.60_(Ferrer%2C_Jos%C3%A9)
41,"Mietzke, Carl",1800,1871,,"Adagio (Mietzke, Carl)",Guitar,https://imslp.org/wiki/Adagio_(Mietzke%2C_Carl)
42,"Morkov, Vladimir",1801,1864,,"Adagio (Morkov, Vladimir)",guitar,https://imslp.org/wiki/Adagio_(Morkov%2C_Vladimir)
43,"Vetrov, Aleksandr",1812,1877,,"Adagio (Vetrov, Aleksandr)",guitar,https://imslp.org/wiki/Adagio_(Vetrov%2C_Aleksandr)
44,"Janon, Charles de",1834,1911,,"Addie Waltz (Janon, Charles de)",guitar,https://imslp.org/wiki/Addie_Waltz_(Janon%2C_Charles_de)
45,"Plantade, Charles-François",1787,1870,,"Adélaïde (Plantade, Charles-François)","voice, guitar",https://imslp.org/wiki/Ad%C3%A9la%C3%AFde_(Plantade%2C_Charles-Fran%C3%A7ois)
46,"Newton, P. W.",,,,"Adele Waltz (Newton, P. W.)",guitar,https://imslp.org/wiki/Adele_Waltz_(Newton%2C_P._W.)
47,"Tárrega, Francisco",1852,1909,,"Adelita (Tárrega, Francisco)",guitar,https://imslp.org/wiki/Adelita_(T%C3%A1rrega%2C_Francisco)
48,"Bissantz, G.",1870,1940,,"Ade (Bissantz, G.)",Voice and Guitar,https://imslp.org/wiki/Ade_(Bissantz%2C_G.)
49,"Puget, Loïsa",1810,1889,,"Adieu tout ce que j'aime (Puget, Loïsa)","2 voices, guitar",https://imslp.org/wiki/Adieu_tout_ce_que_j'aime_(Puget%2C_Lo%C3%AFsa)
50,"Puget, Loïsa",1810,1889,,"Adieu, cousine (Puget, Loïsa)","voice, guitar",https://imslp.org/wiki/Adieu%2C_cousine_(Puget%2C_Lo%C3%AFsa)
51,"Knoop, María Dolores",1813,1892,,"The Adieu (Knoop, María Dolores)",guitar,https://imslp.org/wiki/The_Adieu_(Knoop%2C_Mar%C3%ADa_Dolores)
52,"Carcassi, Matteo",1792,1853,,"Adieux à la Suisse varié pour la guitare, Op.56 (Carcassi, Matteo)",guitar,https://imslp.org/wiki/Adieux_%C3%A0_la_Suisse_vari%C3%A9_pour_la_guitare%2C_Op.56_(Carcassi%2C_Matteo)
53,"Vauquameulen, Joseph Gilles",1785,1861,,"Les adieux d'un troubadour, Op.4 (Vauquameulen, Joseph Gilles)","flute (or violin), guitar",https://imslp.org/wiki/Les_adieux_d'un_troubadour%2C_Op.4_(Vauquameulen%2C_Joseph_Gilles)
54,"Meissonnier, Jean Antoine",1783,1857,,"Les Adieux de Carulli (Meissonnier, Jean Antoine)",guitar (or lyre-guitar),https://imslp.org/wiki/Les_Adieux_de_Carulli_(Meissonnier%2C_Jean_Antoine)
55,"Mertz, Johann Kaspar",1806,1856,,"Les Adieux (Mertz, Johann Kaspar)",guitar,https://imslp.org/wiki/Les_Adieux_(Mertz%2C_Johann_Kaspar)
56,"Sor, Fernando",1778,1839,,"Les Adieux, Op.21 (Sor, Fernando)",guitar,https://imslp.org/wiki/Les_Adieux%2C_Op.21_(Sor%2C_Fernando)
57,"Aleksandrov, Nikolay",1818,1884,,"Adieu (Aleksandrov, Nikolay)",guitar,https://imslp.org/wiki/Adieu_(Aleksandrov%2C_Nikolay)
58,"Horetzky, Felix",1796,1870,,"12 Admired Pieces arranged as Guitar Duets (Horetzky, Felix)",2 guitars,https://imslp.org/wiki/12_Admired_Pieces_arranged_as_Guitar_Duets_(Horetzky%2C_Felix)
59,"Ludenhoff, Martin",,,,"Adroit Little Finger (Ludenhoff, Martin)",Guitar,https://imslp.org/wiki/Adroit_Little_Finger_(Ludenhoff%2C_Martin)
60,"Olvera, Moises",,,,"Adversidad (Olvera, Moises)",guitar,https://imslp.org/wiki/Adversidad_(Olvera%2C_Moises)
61,"DeLano, C. S.",1894,1902,,"Aeolian Waltz (DeLano, C. S.)",guitar,https://imslp.org/wiki/Aeolian_Waltz_(DeLano%2C_C._S.)
62,"Schubert, William",1845,,,"Affection Waltz and 'Love Not' Quick Step (Schubert, William)",guitar,https://imslp.org/wiki/Affection_Waltz_and_'Love_Not'_Quick_Step_(Schubert%2C_William)
63,"Gardana, Enea",1843,1901,,"L'Africana del Meyerbeer (Gardana, Enea)",guitar,https://imslp.org/wiki/L'Africana_del_Meyerbeer_(Gardana%2C_Enea)
64,"Ferrer, José",1835,1916,,"Agréments du Foyer, Op.32 (Ferrer, José)",guitar,https://imslp.org/wiki/Agr%C3%A9ments_du_Foyer%2C_Op.32_(Ferrer%2C_Jos%C3%A9)
65,"Aguado, Dionisio",1784,1849,,"Aguaditos (Aguado, Dionisio)",guitar,https://imslp.org/wiki/Aguaditos_(Aguado%2C_Dionisio)
66,"Jacques, Alain M.",,,,"Ah si vous saviez (Jacques, Alain M.)","voice, guitar",https://imslp.org/wiki/Ah_si_vous_saviez_(Jacques%2C_Alain_M.)
67,"Sychra, Andrei",1773,1850,,"Ah! girlfriends (Sychra, Andrei)",guitar,https://imslp.org/wiki/Ah!_girlfriends_(Sychra%2C_Andrei)
68,"Perol-Schneider, Pierre",,1965,,"Ah! vous dirai-je maman (Perol-Schneider, Pierre)",Guitar,https://imslp.org/wiki/Ah!_vous_dirai-je_maman_(Perol-Schneider%2C_Pierre)
69,"Sychra, Andrei",1773,1850,,"Ah, friends, how sad! (Sychra, Andrei)",guitar,https://imslp.org/wiki/Ah%2C_friends%2C_how_sad!_(Sychra%2C_Andrei)
70,"Converse, Charles Crozat",1832,1918,,"Aileen, Aroon! (Converse, Charles Crozat)","voice, piano or guitar",https://imslp.org/wiki/Aileen%2C_Aroon!_(Converse%2C_Charles_Crozat)
71,"Visser, Dick",1926,2012,,"L'aimable Accord (Visser, Dick)",guitar,https://imslp.org/wiki/L'aimable_Accord_(Visser%2C_Dick)
72,"Bérat, Frédéric",1801,1855,,"L'aimer toujours et puis mourir! (Bérat, Frédéric)",Voice & guitar,https://imslp.org/wiki/L'aimer_toujours_et_puis_mourir!_(B%C3%A9rat%2C_Fr%C3%A9d%C3%A9ric)
73,"Mattos, Fernando",,,,"Aipim no Cebolão (Mattos, Fernando)",Brazilian viola,https://imslp.org/wiki/Aipim_no_Cebol%C3%A3o_(Mattos%2C_Fernando)
74,"Le Cocq, François",1660,1729,,"Air - Andante (Le Cocq, François)",baroque guitar,https://imslp.org/wiki/Air_-_Andante_(Le_Cocq%2C_Fran%C3%A7ois)
75,"Aleksandrov, Nikolay",1818,1884,,"Air composé par le roi Louis XIII (Aleksandrov, Nikolay)",guitar,https://imslp.org/wiki/Air_compos%C3%A9_par_le_roi_Louis_XIII_(Aleksandrov%2C_Nikolay)
76,"Sychra, Andrei",1773,1850,,"Air de l'Opera Beatrice (Sychra, Andrei)",guitar,https://imslp.org/wiki/Air_de_l'Opera_Beatrice_(Sychra%2C_Andrei)
77,"Derosier, Nicolas",,,,"Air de Tambour, f.98 (Derosier, Nicolas)",5-course baroque guitar,https://imslp.org/wiki/Air_de_Tambour%2C_f.98_(Derosier%2C_Nicolas)
78,"Le Cocq, François",1660,1729,,"Air de Trompete, f.30 (Le Cocq, François)",baroque guitar,https://imslp.org/wiki/Air_de_Trompete%2C_f.30_(Le_Cocq%2C_Fran%C3%A7ois)
79,"Vidal, B.",1774,1800,,"Air des Folies d'Espagne (Vidal, B.)",guitar,https://imslp.org/wiki/Air_des_Folies_d'Espagne_(Vidal%2C_B.)
80,"Lemoine, Antoine Marcel",1763,1817,,"Air des Tiroliens (Lemoine, Antoine Marcel)",guitar,https://imslp.org/wiki/Air_des_Tiroliens_(Lemoine%2C_Antoine_Marcel)
81,"Dorn, Charles James",1839,1909,,"Air from 'Fra Diavolo' (Dorn, Charles James)",guitar,https://imslp.org/wiki/Air_from_'Fra_Diavolo'_(Dorn%2C_Charles_James)
82,"Dorn, Charles James",1839,1909,,"Air from 'Magic Flute' (Dorn, Charles James)",guitar,https://imslp.org/wiki/Air_from_'Magic_Flute'_(Dorn%2C_Charles_James)
83,"Campion, François",1685,1747,,"Air No.86 (Campion, François)",guitar,https://imslp.org/wiki/Air_No.86_(Campion%2C_Fran%C3%A7ois)
84,"Ledhuy, Adolphe",1803,1866,,"Air populaire Languedocien (Ledhuy, Adolphe)",guitar,https://imslp.org/wiki/Air_populaire_Languedocien_(Ledhuy%2C_Adolphe)
85,"Aksyonov, Semyon",1784,1853,,"Air Russe 'Oh mother, my head hurts' (Aksyonov, Semyon)",guitar,https://imslp.org/wiki/Air_Russe_'Oh_mother%2C_my_head_hurts'_(Aksyonov%2C_Semyon)
86,"Aksyonov, Semyon",1784,1853,,"Air Russe 'The Cossack rode beyond the Danube' (Aksyonov, Semyon)",guitar,https://imslp.org/wiki/Air_Russe_'The_Cossack_rode_beyond_the_Danube'_(Aksyonov%2C_Semyon)
87,"Vysotsky, Mikhail",1791,1837,,"Air Russe et une Valse (Vysotsky, Mikhail)",7-string guitar,https://imslp.org/wiki/Air_Russe_et_une_Valse_(Vysotsky%2C_Mikhail)
88,"Pettoletti, Pietro",1795,1870,,"Air russe, Op.21 (Pettoletti, Pietro)",solo guitar,https://imslp.org/wiki/Air_russe%2C_Op.21_(Pettoletti%2C_Pietro)
89,"Carcassi, Matteo",1792,1853,,"Air Suisse varié, Op.20 (Carcassi, Matteo)",Guitar Solo,https://imslp.org/wiki/Air_Suisse_vari%C3%A9%2C_Op.20_(Carcassi%2C_Matteo)
90,"Aksyonov, Semyon",1784,1853,,"Air Tirolien (Aksyonov, Semyon)",guitar,https://imslp.org/wiki/Air_Tirolien_(Aksyonov%2C_Semyon)
91,"Aksyonov, Semyon",1784,1853,,"Air variè de L.Maurer (Aksyonov, Semyon)",guitar,https://imslp.org/wiki/Air_vari%C3%A8_de_L.Maurer_(Aksyonov%2C_Semyon)
92,"Carcassi, Matteo",1792,1853,,"Air varié des 'Mystères d'Isis', Op.24 (Carcassi, Matteo)",Guitar,https://imslp.org/wiki/Air_vari%C3%A9_des_'Myst%C3%A8res_d'Isis'%2C_Op.24_(Carcassi%2C_Matteo)
93,"Göpfert, Carl Andreas",1768,1818,,"Air varié for Flute and Guitar, Op.18 (Göpfert, Carl Andreas)","flute, guitar",https://imslp.org/wiki/Air_vari%C3%A9_for_Flute_and_Guitar%2C_Op.18_(G%C3%B6pfert%2C_Carl_Andreas)
94,"Berbiguier, Tranquille",1782,1838,,"Air Varié pour Flûte et Guitare No.6, Op.41 (Berbiguier, Tranquille)","flute, guitar",https://imslp.org/wiki/Air_Vari%C3%A9_pour_Fl%C3%BBte_et_Guitare_No.6%2C_Op.41_(Berbiguier%2C_Tranquille)
95,"Berbiguier, Tranquille",1782,1838,,"Air Varié pour Flûte et Guitare No.7, Op.9 (Berbiguier, Tranquille)","flute, guitar",https://imslp.org/wiki/Air_Vari%C3%A9_pour_Fl%C3%BBte_et_Guitare_No.7%2C_Op.9_(Berbiguier%2C_Tranquille)
96,"Carpentras, Louis-Ange",1786,1852,,"Air Varié pour Flûte et Guitare No.8, Op.23 (Carpentras, Louis-Ange)","flute, guitar",https://imslp.org/wiki/Air_Vari%C3%A9_pour_Fl%C3%BBte_et_Guitare_No.8%2C_Op.23_(Carpentras%2C_Louis-Ange)
97,"Berbiguier, Tranquille",1782,1838,,"Air Varié pour Flûte et Guitare No.9, Op.56 (Berbiguier, Tranquille)","flute, guitar",https://imslp.org/wiki/Air_Vari%C3%A9_pour_Fl%C3%BBte_et_Guitare_No.9%2C_Op.56_(Berbiguier%2C_Tranquille)
98,"Moretti, Federico",1769,1839,,"Air Varié pour la Guitare (Moretti, Federico)",guitar,https://imslp.org/wiki/Air_Vari%C3%A9_pour_la_Guitare_(Moretti%2C_Federico)
99,"Printemps, Louis-Jean Jacques",1800,1837,,"Air varié suivi d'un Andante et de trois Valses pour la Guitare, Op.14 (Printemps, Louis-Jean Jacques)",guitar,https://imslp.org/wiki/Air_vari%C3%A9_suivi_d'un_Andante_et_de_trois_Valses_pour_la_Guitare%2C_Op.14_(Printemps%2C_Louis-Jean_Jacques)
100,"Sor, Fernando",1778,1839,,"Air varié, IFS 79 (Sor, Fernando)",guitar,https://imslp.org/wiki/Air_vari%C3%A9%2C_IFS_79_(Sor%2C_Fernando)
101,"Sor, Fernando",1778,1839,,"Air varié, IFS 80 (Sor, Fernando)",guitar,https://imslp.org/wiki/Air_vari%C3%A9%2C_IFS_80_(Sor%2C_Fernando)
102,"Neumann, Heinrich",1792,1861,,"Air varié, Op.1 (Neumann, Heinrich)","flute, violin, guitar",https://imslp.org/wiki/Air_vari%C3%A9%2C_Op.1_(Neumann%2C_Heinrich)
103,"Regondi, Giulio",1822,1872,,"Air Varie, Op.21 (Regondi, Giulio)",Guitar Solo,https://imslp.org/wiki/Air_Varie%2C_Op.21_(Regondi%2C_Giulio)
104,"Regondi, Giulio",1822,1872,,"Air Varie, Op.22 (Regondi, Giulio)",Guitar Solo,https://imslp.org/wiki/Air_Varie%2C_Op.22_(Regondi%2C_Giulio)
105,"Dorn, Charles James",1839,1909,,"Air Varie (Dorn, Charles James)",guitar,https://imslp.org/wiki/Air_Varie_(Dorn%2C_Charles_James)
106,"Rougeon Desrivières, P.",1811,1817,,"Air Vénitien (Rougeon Desrivières, P.)",guitar,https://imslp.org/wiki/Air_V%C3%A9nitien_(Rougeon_Desrivi%C3%A8res%2C_P.)
107,"Le Cocq, François",1660,1729,,"Air, f.1 (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Air%2C_f.1_(Le_Cocq%2C_Fran%C3%A7ois)
108,"Le Cocq, François",1660,1729,,"Air, f.2 (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Air%2C_f.2_(Le_Cocq%2C_Fran%C3%A7ois)
109,"Le Cocq, François",1660,1729,,"Air, f.50 II (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Air%2C_f.50_II_(Le_Cocq%2C_Fran%C3%A7ois)
110,"Le Cocq, François",1660,1729,,"Air, f.62 (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Air%2C_f.62_(Le_Cocq%2C_Fran%C3%A7ois)
111,"Le Cocq, François",1660,1729,,"Air, f.64 I (Le Cocq, François)",5-course baroque guitar,https://imslp.org/wiki/Air%2C_f.64_I_(Le_Cocq%2C_Fran%C3%A7ois)
112,"Manjón, Antonio Jimenez",1866,1919,,"Aire Vasco, Op.19 (Manjón, Antonio Jimenez)",guitar,https://imslp.org/wiki/Aire_Vasco%2C_Op.19_(Manj%C3%B3n%2C_Antonio_Jimenez)
113,"Barrios Mangoré, Agustín",1885,1944,,"Aires Andaluces (Barrios Mangoré, Agustín)",guitar,https://imslp.org/wiki/Aires_Andaluces_(Barrios_Mangor%C3%A9%2C_Agust%C3%ADn)
114,"Leloup, Hilarión",1876,1939,,"Aires Argentinos (Leloup, Hilarión)",guitar,https://imslp.org/wiki/Aires_Argentinos_(Leloup%2C_Hilari%C3%B3n)
115,"Morales, Justo Tomás",1877,1953,,"Aires de mi Patria (Morales, Justo Tomás)",3 guitars (voice),https://imslp.org/wiki/Aires_de_mi_Patria_(Morales%2C_Justo_Tom%C3%A1s)
116,"Praeger, Heinrich Aloys",1783,1854,,"Airs choisis arrangés, Op.29 (Praeger, Heinrich Aloys)",Guitar,https://imslp.org/wiki/Airs_choisis_arrang%C3%A9s%2C_Op.29_(Praeger%2C_Heinrich_Aloys)
117,"Sor, Fernando",1778,1839,,"6 Airs choisis de l'opera 'Il Flauto Magico', Op.19 (Sor, Fernando)",guitar,https://imslp.org/wiki/6_Airs_choisis_de_l'opera_'Il_Flauto_Magico'%2C_Op.19_(Sor%2C_Fernando)
118,"Merchi, Giacomo",1730,1789,,"Airs d'opéra comique, Op.24 (Merchi, Giacomo)","voice, guitar",https://imslp.org/wiki/Airs_d'op%C3%A9ra_comique%2C_Op.24_(Merchi%2C_Giacomo)
119,"Merchi, Giacomo",1730,1789,,"Airs d'opera comique, Op.26 (Merchi, Giacomo)","voice, guitar",https://imslp.org/wiki/Airs_d'opera_comique%2C_Op.26_(Merchi%2C_Giacomo)
120,"Merchi, Giacomo",1730,1789,,"Airs d'opera comique, Op.30 (Merchi, Giacomo)","voice, guitar",https://imslp.org/wiki/Airs_d'opera_comique%2C_Op.30_(Merchi%2C_Giacomo)
121,"Merchi, Giacomo",1730,1789,,"Airs d'opera et opera comique et autres de societez, Op.36 (Merchi, Giacomo)","voice, guitar",https://imslp.org/wiki/Airs_d'opera_et_opera_comique_et_autres_de_societez%2C_Op.36_(Merchi%2C_Giacomo)
122,"Roldan, Eugène",,,,"4 Airs de la Dame blanche (Roldan, Eugène)",guitar,https://imslp.org/wiki/4_Airs_de_la_Dame_blanche_(Roldan%2C_Eug%C3%A8ne)
123,"Carulli, Ferdinando",1770,1841,,"Airs du Barbier de Séville, Op.153 (Carulli, Ferdinando)","guitar, violin",https://imslp.org/wiki/Airs_du_Barbier_de_S%C3%A9ville%2C_Op.153_(Carulli%2C_Ferdinando)
124,"Paulian, Athénaïs",1802,1875,,"Airs et Variations, Op.1 (Paulian, Athénaïs)",guitar,https://imslp.org/wiki/Airs_et_Variations%2C_Op.1_(Paulian%2C_Ath%C3%A9na%C3%AFs)
125,"Carcassi, Matteo",1792,1853,,"4 Airs favoris variés, WoO (Carcassi, Matteo)",guitar,https://imslp.org/wiki/4_Airs_favoris_vari%C3%A9s%2C_WoO_(Carcassi%2C_Matteo)
126,"Brand, Franz",1780,1850,,"Airs favorits du 'Sacrifice interrompu', Op.18 (Brand, Franz)",2 guitars,https://imslp.org/wiki/Airs_favorits_du_'Sacrifice_interrompu'%2C_Op.18_(Brand%2C_Franz)
127,"Castro, Salvador",1770,1831,,"2 Airs Français variés, Op.17 (Castro, Salvador)",guitar,https://imslp.org/wiki/2_Airs_Fran%C3%A7ais_vari%C3%A9s%2C_Op.17_(Castro%2C_Salvador)
128,"Dorn, Charles James",1839,1909,,"Airs from 'Figaro' (Dorn, Charles James)",guitar,https://imslp.org/wiki/Airs_from_'Figaro'_(Dorn%2C_Charles_James)
129,"Dorn, Charles James",1839,1909,,"Airs from 'L'elisir d'amore' (Dorn, Charles James)",guitar,https://imslp.org/wiki/Airs_from_'L'elisir_d'amore'_(Dorn%2C_Charles_James)
130,"Küffner, Joseph",1776,1856,,"12 Airs gracieux, Op.269 (Küffner, Joseph)",guitar,https://imslp.org/wiki/12_Airs_gracieux%2C_Op.269_(K%C3%BCffner%2C_Joseph)
131,"Villebois, Konstantin",1817,1882,,"150 Airs Nationales Russes (Villebois, Konstantin)",Guitar (7 strings) or Piano,https://imslp.org/wiki/150_Airs_Nationales_Russes_(Villebois%2C_Konstantin)
132,"Carulli, Ferdinando",1770,1841,,"Airs nationaux variés, Op.73 (Carulli, Ferdinando)",guitar,https://imslp.org/wiki/Airs_nationaux_vari%C3%A9s%2C_Op.73_(Carulli%2C_Ferdinando)
133,"Carulli, Ferdinando",1770,1841,,"2 Airs russes variés, Op.110 (Carulli, Ferdinando)",2 guitars,https://imslp.org/wiki/2_Airs_russes_vari%C3%A9s%2C_Op.110_(Carulli%2C_Ferdinando)
134,"Jusdorf, J. C.",1800,1820,,"2 Airs Russes, Op.12 (Jusdorf, J. C.)","flute, guitar",https://imslp.org/wiki/2_Airs_Russes%2C_Op.12_(Jusdorf%2C_J._C.)
135,"Arnold, Johann Gottfried",1773,1806,,"6 Airs tirés des operas les plus nouveaux (Arnold, Johann Gottfried)","voice, flute, guitar; 2 voices, flute, guitar",https://imslp.org/wiki/6_Airs_tir%C3%A9s_des_operas_les_plus_nouveaux_(Arnold%2C_Johann_Gottfried)
